"","MM1","MM2","MM3","MM4","Class"
"873",95,118,117,96,FALSE
"874",86,104,108,89,FALSE
"875",82,96,104,78,FALSE
"876",82,96,104,81,FALSE
"877",82,96,100,81,FALSE
"878",78,83,96,74,TRUE
"879",63,56,108,103,TRUE
"880",46,34,127,144,TRUE
"881",43,32,133,144,TRUE
"882",43,32,138,144,TRUE
"883",46,32,138,144,TRUE
"884",46,32,138,144,TRUE
"885",46,32,133,144,TRUE
"886",46,32,133,136,TRUE
"887",46,32,127,136,TRUE
"888",49,32,127,133,TRUE
"889",46,34,127,129,TRUE
"890",49,32,127,133,TRUE
"891",49,37,112,118,TRUE
"892",43,29,138,140,TRUE
"893",46,34,112,111,TRUE
"894",52,34,117,122,TRUE
"895",49,34,117,122,TRUE
"896",86,100,108,85,FALSE
"897",90,109,108,89,FALSE
"898",86,104,112,85,FALSE
"899",90,113,112,92,FALSE
"900",90,113,117,92,FALSE
"901",95,113,117,96,FALSE
"902",90,118,122,96,FALSE
"903",90,113,117,96,FALSE
"904",90,113,112,92,FALSE
"905",90,113,112,92,FALSE
"906",90,113,112,89,FALSE
"907",86,104,104,85,FALSE
"908",78,96,92,81,FALSE
"909",74,87,92,74,FALSE
"910",74,79,84,66,FALSE
"911",63,67,69,52,FALSE
"912",59,56,62,48,FALSE
"913",59,53,66,44,FALSE
"914",59,56,62,44,FALSE
"915",59,56,66,44,FALSE
"916",59,56,76,55,FALSE
"917",59,49,69,48,FALSE
"918",59,53,66,44,FALSE
"919",56,53,66,48,FALSE
"920",66,67,80,63,FALSE
"921",63,67,73,59,FALSE
"922",70,79,84,70,FALSE
"923",70,79,84,66,FALSE
"924",63,67,69,59,FALSE
"925",59,63,66,55,FALSE
"926",59,63,73,59,FALSE
"927",66,75,76,63,FALSE
"928",92,112,114,94,FALSE
"929",92,112,124,94,FALSE
"930",92,112,114,98,FALSE
"931",92,108,114,90,FALSE
"932",83,99,101,75,FALSE
"933",79,91,97,75,FALSE
"934",83,91,97,79,FALSE
"935",79,95,93,75,FALSE
"936",79,95,93,75,FALSE
"937",71,77,93,79,TRUE
"938",56,42,114,120,TRUE
"939",42,32,130,146,TRUE
"940",42,34,130,142,TRUE
"941",46,32,130,142,TRUE
"942",46,32,130,142,TRUE
"943",46,32,124,139,TRUE
"944",42,34,124,135,TRUE
"945",46,32,119,131,TRUE
"946",46,34,119,127,TRUE
"947",49,34,114,124,TRUE
"948",49,40,105,116,TRUE
"949",46,32,124,135,TRUE
"950",42,32,130,139,TRUE
"951",42,32,119,127,TRUE
"952",42,34,110,120,TRUE
"953",46,34,110,116,TRUE
"954",49,37,114,116,TRUE
"955",52,40,110,113,TRUE
"956",49,37,110,116,TRUE
"957",46,37,114,116,TRUE
"958",46,37,110,113,TRUE
"959",52,45,110,109,TRUE
"960",79,95,97,75,FALSE
"961",96,108,114,94,FALSE
"962",96,112,119,90,FALSE
"963",96,112,119,90,FALSE
"964",96,117,114,94,FALSE
"965",92,112,114,90,FALSE
"966",92,108,114,90,FALSE
"967",92,108,119,90,FALSE
"968",92,103,105,83,FALSE
"969",83,99,101,83,FALSE
"970",79,95,101,75,FALSE
"971",79,84,86,68,FALSE
"972",71,73,79,64,FALSE
"973",71,77,82,68,FALSE
"974",67,77,75,64,FALSE
"975",67,70,68,57,FALSE
"976",52,51,58,42,FALSE
"977",56,54,72,49,FALSE
"978",56,51,62,45,FALSE
"979",56,54,65,45,FALSE
"980",56,51,72,60,FALSE
"981",59,54,62,45,FALSE
"982",59,60,72,57,FALSE
"983",63,70,75,64,FALSE
"984",63,66,75,60,FALSE
"985",63,63,68,53,FALSE
"986",59,60,65,53,FALSE
"987",59,66,72,57,FALSE
"988",97,115,119,94,FALSE
"989",97,115,124,94,FALSE
"990",97,115,119,94,FALSE
"991",78,92,93,80,FALSE
"992",78,88,93,76,FALSE
"993",78,88,97,80,FALSE
"994",78,88,93,76,TRUE
"995",63,63,101,90,TRUE
"996",47,37,119,133,TRUE
"997",44,34,124,143,TRUE
"998",44,34,129,143,TRUE
"999",44,31,124,143,TRUE
"1000",44,34,129,140,TRUE
"1001",44,34,124,136,TRUE
"1002",44,34,124,136,TRUE
"1003",44,34,119,133,TRUE
"1004",44,34,114,129,TRUE
"1005",44,31,124,136,TRUE
"1006",44,31,124,133,TRUE
"1007",47,34,114,126,TRUE
"1008",47,37,114,122,TRUE
"1009",47,37,114,119,TRUE
"1010",44,34,110,119,TRUE
"1011",44,37,105,111,TRUE
"1012",47,40,110,111,TRUE
"1013",60,63,97,94,TRUE
"1014",70,79,97,80,TRUE
"1015",78,92,97,76,FALSE
"1016",97,115,114,94,FALSE
"1017",93,115,114,94,FALSE
"1018",93,115,119,94,FALSE
"1019",97,115,114,97,FALSE
"1020",97,115,114,94,FALSE
"1021",97,115,114,90,FALSE
"1022",93,111,114,87,FALSE
"1023",89,106,114,87,FALSE
"1024",85,106,110,83,FALSE
"1025",78,88,93,73,FALSE
"1026",78,84,85,65,FALSE
"1027",70,79,82,65,FALSE
"1028",53,60,63,48,FALSE
"1029",57,56,56,44,FALSE
"1030",57,53,67,55,FALSE
"1031",53,53,67,48,FALSE
"1032",57,56,63,51,FALSE
"1033",53,49,70,55,FALSE
"1034",57,56,74,62,FALSE
"1035",57,56,70,48,FALSE
"1036",57,56,74,58,FALSE
"1037",57,60,74,58,FALSE
"1038",63,63,74,62,FALSE
"1039",53,53,82,83,TRUE
"1040",50,43,97,101,TRUE
"1041",44,37,101,108,TRUE
"1042",53,53,85,76,TRUE
"1043",60,60,74,55,FALSE
"1044",63,67,74,58,FALSE
"1045",67,71,78,62,FALSE
"1046",92,115,120,94,FALSE
"1047",92,115,120,94,FALSE
"1048",88,106,111,87,FALSE
"1049",76,89,94,76,FALSE
"1050",80,89,98,79,FALSE
"1051",76,85,90,76,FALSE
"1052",72,81,94,76,TRUE
"1053",57,49,115,113,TRUE
"1054",44,31,131,142,TRUE
"1055",47,31,131,139,TRUE
"1056",47,34,131,139,TRUE
"1057",44,31,125,139,TRUE
"1058",47,34,125,135,TRUE
"1059",47,34,115,124,TRUE
"1060",47,40,115,116,TRUE
"1061",50,43,106,102,TRUE
"1062",47,40,115,120,TRUE
"1063",44,31,131,135,TRUE
"1064",47,31,120,124,TRUE
"1065",47,34,115,120,TRUE
"1066",47,37,111,105,TRUE
"1067",50,40,106,105,TRUE
"1068",53,43,106,102,TRUE
"1069",64,69,94,79,TRUE
"1070",68,77,86,65,FALSE
"1071",68,77,78,61,FALSE
"1072",68,77,82,61,FALSE
"1073",68,81,90,68,FALSE
"1074",76,85,94,76,FALSE
"1075",84,98,102,79,FALSE
"1076",88,111,115,94,FALSE
"1077",88,111,115,91,FALSE
"1078",88,106,111,87,FALSE
"1079",88,102,106,83,FALSE
"1080",84,98,106,83,FALSE
"1081",88,98,106,79,FALSE
"1082",84,98,98,79,FALSE
"1083",76,81,90,65,FALSE
"1084",72,77,78,65,FALSE
"1085",72,81,78,65,FALSE
"1086",72,81,90,65,FALSE
"1087",72,81,94,65,FALSE
"1088",64,69,71,57,FALSE
"1089",57,59,64,50,FALSE
"1090",57,59,78,65,FALSE
"1091",53,52,78,65,FALSE
"1092",53,49,74,57,FALSE
"1093",53,49,71,50,FALSE
"1094",57,55,74,61,FALSE
"1095",57,55,78,65,FALSE
"1096",57,55,67,50,FALSE
"1097",57,55,74,65,FALSE
"1098",47,34,111,116,TRUE
"1099",44,29,115,124,TRUE
"1100",44,29,106,113,TRUE
"1101",44,31,106,116,TRUE
"1102",44,37,98,94,TRUE
"1103",57,59,78,61,FALSE
"1104",60,62,82,65,FALSE
"1105",80,99,104,81,FALSE
"1106",84,95,96,78,FALSE
"1107",76,87,96,74,FALSE
"1108",80,95,100,81,FALSE
"1109",80,103,96,81,FALSE
"1110",84,95,100,78,FALSE
"1111",84,95,100,78,FALSE
"1112",80,91,96,81,FALSE
"1113",71,87,91,74,FALSE
"1114",76,87,87,74,FALSE
"1115",76,87,91,78,FALSE
"1116",84,91,96,74,FALSE
"1117",68,68,100,85,TRUE
"1118",50,39,118,132,TRUE
"1119",43,29,133,143,TRUE
"1120",46,31,133,139,TRUE
"1121",46,31,133,139,TRUE
"1122",46,31,133,143,TRUE
"1123",46,31,133,139,TRUE
"1124",43,31,128,135,TRUE
"1125",43,29,128,132,TRUE
"1126",46,34,118,121,TRUE
"1127",50,36,118,121,TRUE
"1128",50,36,122,121,TRUE
"1129",46,36,122,125,TRUE
"1130",50,39,122,117,TRUE
"1131",50,34,122,135,TRUE
"1132",43,29,133,135,TRUE
"1133",56,51,100,92,TRUE
"1134",68,71,91,70,TRUE
"1135",68,75,75,59,FALSE
"1136",68,75,75,59,FALSE
"1137",68,75,83,59,FALSE
"1138",84,103,108,85,FALSE
"1139",92,112,122,92,FALSE
"1140",92,112,118,92,FALSE
"1141",88,107,108,88,FALSE
"1142",84,99,104,78,FALSE
"1143",84,95,104,78,FALSE
"1144",84,95,104,81,FALSE
"1145",84,103,104,81,FALSE
"1146",68,83,83,67,FALSE
"1147",71,75,83,67,FALSE
"1148",71,83,87,70,FALSE
"1149",71,79,83,67,FALSE
"1150",64,64,71,56,FALSE
"1151",64,61,71,59,FALSE
"1152",60,61,71,59,FALSE
"1153",60,61,75,63,FALSE
"1154",60,61,75,67,FALSE
"1155",56,54,79,70,FALSE
"1156",53,48,75,63,FALSE
"1157",53,48,67,56,FALSE
"1158",56,54,79,63,FALSE
"1159",56,51,67,52,FALSE
"1160",53,54,71,52,FALSE
"1161",43,29,122,139,TRUE
"1162",43,29,122,135,TRUE
"1163",43,29,122,128,TRUE
"1164",40,31,122,132,TRUE
"1165",53,48,71,59,FALSE
"1166",56,51,71,59,FALSE
"1167",60,54,75,63,FALSE
"1168",84,95,96,75,FALSE
"1169",84,95,100,79,FALSE
"1170",79,95,96,75,FALSE
"1171",84,95,100,79,FALSE
"1172",84,99,100,79,FALSE
"1173",84,99,100,79,FALSE
"1174",79,95,96,79,FALSE
"1175",79,91,93,75,FALSE
"1176",79,91,96,75,FALSE
"1177",84,95,100,79,FALSE
"1178",79,95,96,79,FALSE
"1179",84,99,96,79,FALSE
"1180",75,87,93,75,TRUE
"1181",63,58,104,100,TRUE
"1182",44,32,128,141,TRUE
"1183",44,34,123,129,TRUE
"1184",44,32,118,125,TRUE
"1185",48,34,118,121,TRUE
"1186",48,34,118,125,TRUE
"1187",44,34,123,129,TRUE
"1188",48,29,118,129,TRUE
"1189",51,42,109,104,TRUE
"1190",51,40,104,100,TRUE
"1191",59,51,100,83,TRUE
"1192",63,64,85,67,TRUE
"1193",67,72,77,54,FALSE
"1194",67,72,74,58,FALSE
"1195",67,72,70,54,FALSE
"1196",67,75,74,58,FALSE
"1197",67,75,77,58,FALSE
"1198",67,79,81,62,FALSE
"1199",71,83,85,62,FALSE
"1200",75,91,96,75,FALSE
"1201",84,103,104,83,FALSE
"1202",79,95,100,79,FALSE
"1203",79,95,96,75,FALSE
"1204",71,83,85,67,FALSE
"1205",71,79,85,67,FALSE
"1206",71,75,85,67,FALSE
"1207",75,79,85,67,FALSE
"1208",71,79,89,75,FALSE
"1209",63,64,85,75,FALSE
"1210",55,48,77,62,FALSE
"1211",55,48,74,62,FALSE
"1212",55,51,67,54,FALSE
"1213",55,51,70,54,FALSE
"1214",55,54,77,62,FALSE
"1215",55,48,70,54,FALSE
"1216",55,51,85,75,FALSE
"1217",51,45,104,112,TRUE
"1218",44,29,128,146,TRUE
"1219",41,27,123,129,TRUE
"1220",44,32,113,116,TRUE
"1221",51,45,85,71,TRUE
"1222",51,45,74,62,FALSE
"1223",59,58,77,67,FALSE
"1224",82,96,96,81,FALSE
"1225",82,96,100,78,FALSE
"1226",82,91,96,78,FALSE
"1227",82,96,96,78,FALSE
"1228",82,96,100,78,FALSE
"1229",82,96,104,78,FALSE
"1230",78,96,104,78,FALSE
"1231",82,91,104,81,FALSE
"1232",82,96,104,81,FALSE
"1233",82,100,100,78,FALSE
"1234",82,96,104,81,FALSE
"1235",82,100,100,85,FALSE
"1236",49,34,117,129,TRUE
"1237",46,34,112,122,TRUE
"1238",49,34,117,125,TRUE
"1239",46,32,122,122,TRUE
"1240",43,32,122,129,TRUE
"1241",49,34,122,129,TRUE
"1242",56,49,108,100,TRUE
"1243",66,63,88,70,TRUE
"1244",63,67,69,55,FALSE
"1245",63,67,73,55,FALSE
"1246",66,71,73,55,FALSE
"1247",66,75,76,63,FALSE
"1248",66,79,84,63,FALSE
"1249",66,83,80,63,FALSE
"1250",82,91,96,78,FALSE
"1251",78,87,92,74,FALSE
"1252",78,87,96,78,FALSE
"1253",78,83,84,70,FALSE
"1254",70,79,80,66,FALSE
"1255",70,83,84,70,FALSE
"1256",74,79,84,66,FALSE
"1257",70,75,84,66,FALSE
"1258",70,75,80,63,FALSE
"1259",70,83,88,70,FALSE
"1260",74,83,88,70,FALSE
"1261",74,83,88,74,FALSE
"1262",74,83,88,74,FALSE
"1263",66,63,76,66,FALSE
"1264",63,60,80,66,FALSE
"1265",59,53,84,70,FALSE
"1266",52,46,80,63,FALSE
"1267",59,53,84,66,FALSE
"1268",56,49,69,59,FALSE
"1269",52,49,76,59,FALSE
"1270",56,53,84,63,FALSE
"1271",56,49,84,70,FALSE
"1272",52,43,104,100,TRUE
"1273",43,27,133,151,TRUE
"1274",43,27,122,133,TRUE
"1275",43,27,117,129,TRUE
"1276",43,29,117,133,TRUE
"1277",49,40,96,89,TRUE
"1278",52,46,80,63,FALSE
"1279",52,46,76,66,FALSE
"1280",83,99,105,79,FALSE
"1281",83,95,97,79,FALSE
"1282",83,99,101,83,FALSE
"1283",79,95,101,83,FALSE
"1284",79,95,97,79,FALSE
"1285",79,95,105,79,FALSE
"1286",79,95,97,79,FALSE
"1287",79,99,105,83,FALSE
"1288",92,103,114,86,FALSE
"1289",92,103,105,83,FALSE
"1290",75,81,93,79,TRUE
"1291",56,45,105,105,TRUE
"1292",49,37,114,120,TRUE
"1293",46,37,105,116,TRUE
"1294",46,40,105,109,TRUE
"1295",49,40,105,113,TRUE
"1296",46,34,124,131,TRUE
"1297",46,32,114,127,TRUE
"1298",42,34,119,135,TRUE
"1299",59,60,97,83,TRUE
"1300",63,66,79,64,FALSE
"1301",67,70,75,57,FALSE
"1302",63,70,75,57,FALSE
"1303",63,70,72,53,FALSE
"1304",67,66,72,53,FALSE
"1305",67,66,72,53,FALSE
"1306",67,66,72,53,FALSE
"1307",63,70,68,53,FALSE
"1308",67,70,72,57,FALSE
"1309",67,77,82,60,FALSE
"1310",71,81,82,64,FALSE
"1311",71,81,82,64,FALSE
"1312",75,84,86,64,FALSE
"1313",75,91,90,72,FALSE
"1314",79,91,90,72,FALSE
"1315",75,84,93,72,FALSE
"1316",75,91,97,72,FALSE
"1317",75,81,82,68,FALSE
"1318",71,81,82,64,FALSE
"1319",71,77,79,68,FALSE
"1320",75,84,90,72,FALSE
"1321",75,88,97,75,FALSE
"1322",75,84,93,75,FALSE
"1323",75,84,90,72,FALSE
"1324",71,77,93,75,FALSE
"1325",63,63,79,72,FALSE
"1326",63,57,86,72,FALSE
"1327",59,57,82,68,FALSE
"1328",59,60,82,68,FALSE
"1329",59,54,82,72,FALSE
"1330",56,48,68,53,FALSE
"1331",56,51,68,60,FALSE
"1332",56,48,79,64,FALSE
"1333",59,54,82,72,FALSE
"1334",59,48,90,90,TRUE
"1335",52,37,110,116,TRUE
"1336",42,30,124,135,TRUE
"1337",42,30,119,127,TRUE
"1338",46,32,105,113,TRUE
"1339",49,45,82,72,FALSE
"1340",97,115,114,90,FALSE
"1341",89,111,114,87,FALSE
"1342",89,106,110,83,FALSE
"1343",85,97,101,80,FALSE
"1344",85,97,101,80,FALSE
"1345",85,97,105,80,FALSE
"1346",82,92,101,76,FALSE
"1347",78,92,97,76,FALSE
"1348",82,92,97,80,FALSE
"1349",82,92,101,83,FALSE
"1350",85,97,101,80,FALSE
"1351",82,102,110,83,FALSE
"1352",89,106,110,90,FALSE
"1353",93,111,114,90,FALSE
"1354",89,102,105,80,FALSE
"1355",67,71,89,80,TRUE
"1356",50,43,97,108,TRUE
"1357",44,40,105,111,TRUE
"1358",50,53,101,101,TRUE
"1359",44,37,124,136,TRUE
"1360",53,43,114,119,TRUE
"1361",60,67,70,55,FALSE
"1362",63,67,74,55,FALSE
"1363",67,67,70,55,FALSE
"1364",63,67,70,55,FALSE
"1365",63,67,74,55,FALSE
"1366",67,75,78,62,FALSE
"1367",74,79,82,65,FALSE
"1368",67,75,82,62,FALSE
"1369",70,79,85,65,FALSE
"1370",74,79,89,69,FALSE
"1371",82,92,93,76,FALSE
"1372",78,88,85,73,FALSE
"1373",74,84,85,69,FALSE
"1374",74,84,85,69,FALSE
"1375",67,75,82,69,FALSE
"1376",70,75,85,69,FALSE
"1377",70,75,82,69,FALSE
"1378",67,79,82,69,FALSE
"1379",70,79,85,73,FALSE
"1380",74,84,85,73,FALSE
"1381",57,53,85,76,FALSE
"1382",57,56,82,65,FALSE
"1383",60,60,82,65,FALSE
"1384",60,60,82,69,FALSE
"1385",57,60,82,73,FALSE
"1386",53,53,78,73,FALSE
"1387",50,46,74,62,FALSE
"1388",53,53,74,58,FALSE
"1389",53,53,74,65,FALSE
"1390",53,53,74,69,FALSE
"1391",53,49,78,73,FALSE
"1392",50,49,89,87,TRUE
"1393",47,37,105,115,TRUE
"1394",42,29,114,129,TRUE
"1395",44,29,119,133,TRUE
"1396",47,37,101,101,TRUE
"1397",47,40,93,94,TRUE
"1398",50,40,82,80,TRUE
"1399",97,111,115,94,FALSE
"1400",97,111,111,91,FALSE
"1401",88,102,106,83,FALSE
"1402",88,98,102,83,FALSE
"1403",84,98,102,79,FALSE
"1404",84,102,102,79,FALSE
"1405",84,102,102,83,FALSE
"1406",84,98,106,83,FALSE
"1407",88,98,106,87,FALSE
"1408",88,106,106,87,FALSE
"1409",88,106,106,87,FALSE
"1410",92,111,115,91,FALSE
"1411",97,115,115,91,FALSE
"1412",101,115,120,94,FALSE
"1413",97,111,115,87,FALSE
"1414",80,89,98,72,FALSE
"1415",60,59,98,91,TRUE
"1416",64,73,98,83,TRUE
"1417",57,55,98,98,TRUE
"1418",60,69,102,87,TRUE
"1419",68,73,78,65,FALSE
"1420",64,73,74,54,FALSE
"1421",64,66,64,54,FALSE
"1422",64,69,64,54,FALSE
"1423",64,69,71,57,FALSE
"1424",64,69,71,54,FALSE
"1425",68,69,78,54,FALSE
"1426",68,69,71,57,FALSE
"1427",68,73,71,57,FALSE
"1428",68,73,74,57,FALSE
"1429",64,73,74,57,FALSE
"1430",68,77,78,61,FALSE
"1431",68,77,74,61,FALSE
"1432",68,73,78,61,FALSE
"1433",68,73,78,57,FALSE
"1434",68,73,82,61,FALSE
"1435",76,85,86,68,FALSE
"1436",80,89,94,72,FALSE
"1437",76,81,86,72,FALSE
"1438",72,81,90,72,FALSE
"1439",72,77,90,72,FALSE
"1440",68,77,90,72,FALSE
"1441",68,69,86,76,FALSE
"1442",68,69,86,72,FALSE
"1443",68,73,86,72,FALSE
"1444",72,81,86,72,FALSE
"1445",72,77,82,68,FALSE
"1446",60,59,86,72,FALSE
"1447",57,52,90,76,FALSE
"1448",57,59,78,68,FALSE
"1449",60,59,82,68,FALSE
"1450",53,49,82,65,FALSE
"1451",57,55,71,61,FALSE
"1452",57,55,78,65,FALSE
"1453",57,55,82,68,FALSE
"1454",53,46,90,83,FALSE
"1455",41,31,98,113,TRUE
"1456",44,37,102,102,TRUE
"1457",50,46,102,102,TRUE
"1458",44,31,111,120,TRUE
"1459",44,37,115,120,TRUE
"1460",47,31,106,105,TRUE
"1461",47,37,94,87,TRUE
"1462",101,116,122,96,FALSE
"1463",97,116,122,96,FALSE
"1464",97,112,118,92,FALSE
"1465",92,107,113,88,FALSE
"1466",92,112,118,92,FALSE
"1467",92,112,118,88,FALSE
"1468",88,103,108,81,FALSE
"1469",88,103,108,88,FALSE
"1470",88,107,113,88,FALSE
"1471",92,107,108,85,FALSE
"1472",92,107,118,92,FALSE
"1473",97,112,122,88,FALSE
"1474",92,107,113,85,FALSE
"1475",84,95,104,74,FALSE
"1476",71,83,100,78,TRUE
"1477",68,79,100,81,TRUE
"1478",68,75,96,78,TRUE
"1479",64,75,87,78,TRUE
"1480",68,75,83,70,TRUE
"1481",71,75,83,63,FALSE
"1482",68,71,79,59,FALSE
"1483",64,71,75,56,FALSE
"1484",64,68,71,52,FALSE
"1485",64,71,71,56,FALSE
"1486",60,71,75,56,FALSE
"1487",64,68,71,52,FALSE
"1488",64,75,75,56,FALSE
"1489",68,71,71,56,FALSE
"1490",64,71,71,59,FALSE
"1491",71,75,75,59,FALSE
"1492",68,71,67,56,FALSE
"1493",68,71,71,59,FALSE
"1494",68,75,71,56,FALSE
"1495",68,71,75,56,FALSE
"1496",68,75,75,59,FALSE
"1497",71,75,75,59,FALSE
"1498",76,87,83,74,FALSE
"1499",71,75,87,74,FALSE
"1500",64,71,87,78,FALSE
"1501",64,64,87,78,FALSE
"1502",64,71,87,74,FALSE
"1503",64,71,87,78,FALSE
"1504",68,71,87,74,FALSE
"1505",68,75,87,74,FALSE
"1506",68,75,83,67,FALSE
"1507",71,75,83,70,FALSE
"1508",71,71,87,74,FALSE
"1509",60,61,87,74,FALSE
"1510",56,54,83,70,FALSE
"1511",56,57,79,70,FALSE
"1512",60,61,83,70,FALSE
"1513",56,54,83,70,FALSE
"1514",60,54,83,70,FALSE
"1515",53,45,96,96,TRUE
"1516",46,36,100,107,TRUE
"1517",43,31,108,117,TRUE
"1518",43,31,104,117,TRUE
"1519",50,42,96,96,TRUE
"1520",40,31,104,110,TRUE
"1521",40,31,104,107,TRUE
"1522",43,29,113,114,TRUE
"1523",46,34,104,103,TRUE
"1524",97,116,123,96,FALSE
"1525",93,111,118,92,FALSE
"1526",93,116,118,96,FALSE
"1527",97,111,118,96,FALSE
"1528",97,111,118,96,FALSE
"1529",97,116,113,92,FALSE
"1530",93,111,113,92,FALSE
"1531",88,107,109,87,FALSE
"1532",88,107,109,92,FALSE
"1533",93,111,118,92,FALSE
"1534",97,111,109,87,FALSE
"1535",97,111,113,87,FALSE
"1536",67,72,77,58,FALSE
"1537",67,72,70,54,FALSE
"1538",67,72,77,58,FALSE
"1539",67,72,77,54,FALSE
"1540",67,72,77,54,FALSE
"1541",63,68,70,54,FALSE
"1542",67,68,70,54,FALSE
"1543",67,68,70,54,FALSE
"1544",67,72,74,54,FALSE
"1545",67,72,74,54,FALSE
"1546",67,72,77,54,FALSE
"1547",67,72,74,54,FALSE
"1548",67,68,74,54,FALSE
"1549",67,68,74,54,FALSE
"1550",67,72,74,58,FALSE
"1551",67,72,70,58,FALSE
"1552",67,72,70,58,FALSE
"1553",71,72,74,58,FALSE
"1554",71,75,77,67,FALSE
"1555",75,83,85,67,FALSE
"1556",75,83,85,71,FALSE
"1557",79,95,96,75,FALSE
"1558",71,75,93,79,FALSE
"1559",67,68,93,79,FALSE
"1560",67,68,89,75,FALSE
"1561",67,72,81,67,FALSE
"1562",67,72,81,67,FALSE
"1563",67,68,81,67,FALSE
"1564",67,72,85,67,FALSE
"1565",67,75,81,67,FALSE
"1566",71,79,89,71,FALSE
"1567",71,79,93,71,FALSE
"1568",67,68,89,75,FALSE
"1569",63,61,93,79,FALSE
"1570",63,58,85,75,FALSE
"1571",63,64,77,62,FALSE
"1572",71,75,85,71,FALSE
"1573",48,37,104,104,TRUE
"1574",48,34,104,108,TRUE
"1575",44,29,109,121,TRUE
"1576",44,29,104,121,TRUE
"1577",51,40,96,96,TRUE
"1578",44,34,100,100,TRUE
"1579",44,29,100,100,TRUE
"1580",44,32,104,104,TRUE
"1581",44,32,109,104,TRUE
"1582",44,32,109,112,TRUE
"1583",99,113,117,96,FALSE
"1584",95,118,117,92,FALSE
"1585",95,113,117,96,FALSE
"1586",104,113,127,96,FALSE
"1587",95,113,112,89,FALSE
"1588",95,113,112,89,FALSE
"1589",90,104,117,89,FALSE
"1590",95,109,112,89,FALSE
"1591",99,113,117,92,FALSE
"1592",95,109,117,89,FALSE
"1593",95,109,117,89,FALSE
"1594",90,113,112,92,FALSE
"1595",90,109,108,89,FALSE
"1596",70,75,84,63,FALSE
"1597",63,71,69,55,FALSE
"1598",63,75,76,59,FALSE
"1599",66,75,73,55,FALSE
"1600",63,71,73,55,FALSE
"1601",66,75,73,59,FALSE
"1602",66,79,80,59,FALSE
"1603",66,71,73,55,FALSE
"1604",66,71,73,55,FALSE
"1605",66,71,69,55,FALSE
"1606",66,71,73,55,FALSE
"1607",66,71,69,55,FALSE
"1608",70,71,73,55,FALSE
"1609",66,71,73,59,FALSE
"1610",70,79,88,66,FALSE
"1611",70,79,88,66,FALSE
"1612",78,83,84,66,FALSE
"1613",78,83,92,70,FALSE
"1614",78,83,88,74,FALSE
"1615",70,79,96,78,FALSE
"1616",70,79,92,81,FALSE
"1617",66,71,88,78,FALSE
"1618",66,71,92,74,FALSE
"1619",66,71,80,66,FALSE
"1620",66,71,80,66,FALSE
"1621",66,71,80,66,FALSE
"1622",66,75,80,70,FALSE
"1623",70,79,88,74,FALSE
"1624",66,63,80,70,FALSE
"1625",66,71,76,63,FALSE
"1626",70,79,92,70,FALSE
"1627",74,87,96,78,FALSE
"1628",46,32,104,111,TRUE
"1629",43,32,104,114,TRUE
"1630",46,34,104,118,TRUE
"1631",40,29,112,122,TRUE
"1632",43,27,108,125,TRUE
"1633",49,40,96,100,TRUE
"1634",49,40,92,92,TRUE
"1635",43,29,104,107,TRUE
"1636",43,32,100,103,TRUE
"1637",96,112,119,90,FALSE
"1638",96,112,114,94,FALSE
"1639",96,117,119,94,FALSE
"1640",96,112,119,94,FALSE
"1641",96,112,114,98,FALSE
"1642",92,112,119,90,FALSE
"1643",92,112,114,90,FALSE
"1644",92,112,114,90,FALSE
"1645",92,108,114,90,FALSE
"1646",96,108,110,90,FALSE
"1647",96,117,119,94,FALSE
"1648",92,117,114,90,FALSE
"1649",92,108,105,86,FALSE
"1650",87,99,105,83,FALSE
"1651",75,84,90,68,FALSE
"1652",75,77,82,57,FALSE
"1653",63,70,75,53,FALSE
"1654",59,66,72,53,FALSE
"1655",63,66,75,57,FALSE
"1656",67,73,79,57,FALSE
"1657",67,73,75,60,FALSE
"1658",67,73,82,60,FALSE
"1659",67,81,82,60,FALSE
"1660",63,77,75,60,FALSE
"1661",71,84,86,64,FALSE
"1662",71,81,79,68,FALSE
"1663",71,73,82,60,FALSE
"1664",67,73,72,57,FALSE
"1665",63,70,72,57,FALSE
"1666",63,70,68,57,FALSE
"1667",71,81,82,64,FALSE
"1668",71,81,86,68,FALSE
"1669",71,81,79,64,FALSE
"1670",67,73,79,60,FALSE
"1671",75,81,82,64,FALSE
"1672",75,84,82,68,FALSE
"1673",75,91,97,75,FALSE
"1674",83,99,105,75,FALSE
"1675",79,84,93,75,FALSE
"1676",67,73,90,75,FALSE
"1677",63,70,86,75,FALSE
"1678",63,70,82,72,FALSE
"1679",63,66,82,68,FALSE
"1680",63,70,82,68,FALSE
"1681",67,73,86,72,FALSE
"1682",71,77,90,72,FALSE
"1683",71,81,90,75,FALSE
"1684",75,77,86,68,FALSE
"1685",67,66,75,60,FALSE
"1686",67,66,68,60,FALSE
"1687",71,73,75,60,FALSE
"1688",71,77,79,64,FALSE
"1689",75,81,86,72,FALSE
"1690",59,51,101,113,TRUE
"1691",42,30,101,120,TRUE
"1692",46,32,105,116,TRUE
"1693",46,30,110,127,TRUE
"1694",46,32,110,120,TRUE
"1695",49,40,97,101,TRUE
"1696",46,32,110,113,TRUE
"1697",42,30,105,116,TRUE
"1698",42,32,105,109,TRUE
"1699",93,115,114,90,FALSE
"1700",97,115,119,94,FALSE
"1701",97,115,119,97,FALSE
